"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/","BUSN-702","Coop/Employment Preparedness",NA
"2","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/","HRPD-701","Human Resources Management in Canada",NA
"3","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/","HRPD-702","Contemporary Organizational Behaviour",NA
"4","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/","HRPD-703","Management Accounting for Human Resources",NA
"5","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/","HRPD-704","Staffing Organizations",NA
"6","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/","HRPD-706","Labour and Employment Law",NA
"7","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/","HRPD-705","Strategic Compensation",NA
"8","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/","HRPD-707","Employee Health and Safety",NA
"9","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/","HRPD-708","Training and Development",NA
"10","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/","HRPD-709","Industrial Relations",NA
"11","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/","HRPD-710","Alternative Dispute Resolution",NA
"12","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/","HRPD-712","Human Resources Strategy",NA
"13","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/","HRPD-713","Advanced HRMS",NA
"14","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/",NA,NA,NA
"15","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/",NA,NA,NA
"16","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/",NA,NA,NA
"17","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/",NA,NA,NA
"18","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/",NA,NA,NA
"19","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/",NA,NA,NA
"20","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/",NA,NA,NA
"21","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/",NA,NA,NA
"22","Centennial College of Applied Arts and Technology","Human Resources Management (Optional Co-op) (Online)","https://www.centennialcollege.ca/programs-courses/full-time/human-resources-management-online/",NA,NA,NA
