"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-106","Electrical Fundamentals",NA
"2","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-107","Workplace/Trade Practices",NA
"3","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-108","Fluid Power",NA
"4","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-110","Engines 1",NA
"5","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","COMM-160/161","College Communication 1",NA
"6","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","GS-150","Pathways to Success",NA
"7","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","MCAL-100","Measurements and Calculations 1",NA
"8","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-120","Electrical Diagnosis 1",NA
"9","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-121","Steering, Suspension, and Brakes 1",NA
"10","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-122","Drivelines 1",NA
"11","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-123","Fuels & Emissions 1",NA
"12","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","COMM-170/171","College Communication 2",NA
"13","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","GNED","General Education Elective",NA
"14","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","MCAL-200","Measurements and Calculations 2",NA
"15","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-231","Engines 2",NA
"16","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-232","Electrical Diagnosis 2",NA
"17","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-233","Steering, Suspension, and Brakes 2",NA
"18","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-234","Drivelines 2",NA
"19","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-235","Fuels & Emissions 2",NA
"20","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","FOPM-100","Fixed Operations Management 1",NA
"21","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"22","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-241","Engines 3 (Maintenance & Repair)",NA
"23","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-242","Steering, Suspension, and Brakes 3 (Maintenance & Repair)",NA
"24","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-243","Systems Diagnostics (Fuels/Elec)",NA
"25","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","AUTO-244","HVAC & ODP Certification",NA
"26","Centennial College of Applied Arts and Technology","Automotive - Motive Power Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-motive-power-technician-technical/","ENGL-219","Communications for Professionals in the Automotive Industry",NA
